"location","country_code_n_missing","Date_n_missing","infections_mean_n_missing","infections_lower_n_missing","infections_upper_n_missing","cases_mean_7d_n_missing","case_ascert_n_missing","country_code_n_zeros","Date_n_zeros","infections_mean_n_zeros","infections_lower_n_zeros","infections_upper_n_zeros","cases_mean_7d_n_zeros","case_ascert_n_zeros"
"Afghanistan",0,0,147,147,147,0,147,0,0,NA,NA,NA,52,NA
"Africa",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,42,NA
"Albania",0,0,160,160,160,0,167,0,0,NA,NA,NA,64,NA
"Algeria",0,0,148,148,148,0,148,0,0,NA,NA,NA,49,NA
"American Samoa",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,813,NA
"Andorra",0,0,153,153,153,0,153,0,0,NA,NA,NA,112,NA
"Angola",0,0,155,155,155,0,173,0,0,NA,NA,NA,122,NA
"Anguilla",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,629,NA
"Antigua and Barbuda",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,351,NA
"Argentina",0,0,149,149,149,0,150,0,0,NA,NA,NA,90,NA
"Armenia",0,0,148,148,148,0,148,0,0,NA,NA,NA,60,NA
"Aruba",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,181,NA
"Asia",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,0,NA
"Asia excl. China",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,5,NA
"Australia",0,0,150,150,150,0,150,0,0,NA,NA,NA,29,NA
"Austria",0,0,148,148,148,0,148,0,0,NA,NA,NA,49,NA
"Azerbaijan",0,0,148,148,148,0,148,0,0,NA,NA,NA,52,NA
"Bahamas",0,0,158,158,158,0,172,0,0,NA,NA,NA,213,NA
"Bahrain",0,0,148,148,148,0,148,0,0,NA,NA,NA,170,NA
"Bangladesh",0,0,148,148,148,0,154,0,0,NA,NA,NA,60,NA
"Barbados",0,0,160,160,160,0,175,0,0,NA,NA,NA,196,NA
"Belarus",0,0,313,313,313,0,313,0,0,NA,NA,NA,375,NA
"Belgium",0,0,148,148,148,0,148,0,0,NA,NA,NA,48,NA
"Belize",0,0,148,148,148,0,169,0,0,NA,NA,NA,156,NA
"Benin",0,0,161,161,161,0,175,0,0,NA,NA,NA,216,NA
"Bermuda",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,159,NA
"Bhutan",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,122,NA
"Bolivia",0,0,148,148,148,0,157,0,0,NA,NA,NA,68,NA
"Bonaire Sint Eustatius and Saba",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,212,NA
"Bosnia and Herzegovina",0,0,148,148,148,0,151,0,0,NA,NA,NA,57,NA
"Botswana",0,0,148,148,148,0,176,0,0,NA,NA,NA,144,NA
"Brazil",0,0,146,146,146,0,146,0,0,NA,NA,NA,56,NA
"British Virgin Islands",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,658,NA
"Brunei",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,259,NA
"Bulgaria",0,0,148,148,148,0,154,0,0,NA,NA,NA,60,NA
"Burkina Faso",0,0,224,224,224,0,232,0,0,NA,NA,NA,336,NA
"Burundi",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,116,NA
"Cambodia",0,0,148,148,148,0,148,0,0,NA,NA,NA,175,NA
"Cameroon",0,0,183,183,183,0,187,0,0,NA,NA,NA,191,NA
"Canada",0,0,148,148,148,0,148,0,0,NA,NA,NA,25,NA
"Cape Verde",0,0,148,148,148,0,166,0,0,NA,NA,NA,93,NA
"Cayman Islands",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,290,NA
"Central African Republic",0,0,168,168,168,0,197,0,0,NA,NA,NA,189,NA
"Chad",0,0,148,148,148,0,165,0,0,NA,NA,NA,180,NA
"Chile",0,0,146,146,146,0,147,0,0,NA,NA,NA,52,NA
"China",0,0,147,147,147,0,147,0,0,NA,NA,NA,0,NA
"Colombia",0,0,151,151,151,0,155,0,0,NA,NA,NA,73,NA
"Comoros",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,139,NA
"Congo",0,0,175,175,175,0,188,0,0,NA,NA,NA,215,NA
"Cook Islands",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,882,NA
"Costa Rica",0,0,158,158,158,0,162,0,0,NA,NA,NA,71,NA
"Cote d'Ivoire",0,0,148,148,148,0,148,0,0,NA,NA,NA,62,NA
"Croatia",0,0,147,147,147,0,147,0,0,NA,NA,NA,48,NA
"Cuba",0,0,148,148,148,0,158,0,0,NA,NA,NA,65,NA
"Curacao",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,146,NA
"Cyprus",0,0,151,151,151,0,158,0,0,NA,NA,NA,68,NA
